10.200.53.31        test-kafka-szkol-wrk00.hestia.polska
10.200.53.32        test-kafka-szkol-wrk01.hestia.polska
10.200.53.33        test-kafka-szkol-wrk02.hestia.polska
10.200.53.34        test-kafka-szkol-mgt00.hestia.polska
10.200.53.35        test-kafka-szkol-zk00.hestia.polska
10.200.53.36        test-kafka-szkol-zk01.hestia.polska
10.200.53.37        test-kafka-szkol-zk02.hestia.polska
10.200.53.51        test-kafka-prep-wrk00.hestia.polska
10.200.53.52        test-kafka-prep-wrk01.hestia.polska
10.200.53.53        test-kafka-prep-wrk02.hestia.polska
10.200.53.54        test-kafka-prep-mgt00.hestia.polska
10.200.53.55        test-kafka-prep-zk00.hestia.polska
10.200.53.56        test-kafka-prep-zk01.hestia.polska
10.200.53.57        test-kafka-prep-zk02.hestia.polska
10.200.53.58        test-kafka-fix-wrk00.hestia.polska
10.200.53.59        test-kafka-fix-wrk01.hestia.polska
10.200.53.60        test-kafka-fix-wrk02.hestia.polska
10.200.53.61        test-kafka-fix-mgt00.hestia.polska
10.200.53.62        test-kafka-fix-zk00.hestia.polska
10.200.53.63        test-kafka-fix-zk01.hestia.polska
10.200.53.64        test-kafka-fix-zk02.hestia.polska
10.200.43.51        prod-kafka-prod-wrk00.hestia.polska
10.200.43.52        prod-kafka-prod-wrk01.hestia.polska
10.200.43.53        prod-kafka-prod-wrk02.hestia.polska
10.200.43.54        prod-kafka-prod-mgt00.hestia.polska
10.200.43.55        prod-kafka-prod-zk00.hestia.polska
10.200.43.56        prod-kafka-prod-zk01.hestia.polska
10.200.43.57        prod-kafka-prod-zk02.hestia.polska
